Model,Feature,Importance
Decision Tree,Age,0.021126173668526566
Decision Tree,Flight Distance,0.015598387612039513
Decision Tree,Seat comfort,0.18103350796441245
Decision Tree,Departure/Arrival time convenient,0.02272541499802828
Decision Tree,Food and drink,0.02182024993086183
Decision Tree,Gate location,0.016247935205949176
Decision Tree,Inflight wifi service,0.004086322128413275
Decision Tree,Inflight entertainment,0.40266607550623057
Decision Tree,Online support,0.0185017913749526
Decision Tree,Ease of Online booking,0.06819412120022406
Decision Tree,On-board service,0.006742920128198802
Decision Tree,Leg room service,0.01676888734486771
Decision Tree,Baggage handling,0.011060304154998783
Decision Tree,Checkin service,0.02861045685936974
Decision Tree,Cleanliness,0.01664035836215814
Decision Tree,Online boarding,0.009143518791287211
Decision Tree,Departure Delay in Minutes,0.004378041429158374
Decision Tree,Arrival Delay in Minutes,0.00890168406572388
Decision Tree,Total Delay,0.011023481301824024
Decision Tree,Service Quality Score,0.008063322577912037
Decision Tree,Gender_Female,0.008052752711392289
Decision Tree,Gender_Male,0.0
Decision Tree,Customer Type_Loyal Customer,0.009242641686942577
Decision Tree,Customer Type_disloyal Customer,0.038107567562061156
Decision Tree,Type of Travel_Business travel,0.020915454118160905
Decision Tree,Type of Travel_Personal Travel,0.004645555429069211
Decision Tree,Class_Business,0.022280433274018168
Decision Tree,Class_Eco,0.001681774017693642
Decision Tree,Class_Eco Plus,0.00027345876464846545
Decision Tree,Flight Distance Category_Long,0.00027345876464846545
Decision Tree,Flight Distance Category_Medium,0.0006030828068982886
Decision Tree,Flight Distance Category_Short,0.0005908662593297201
Random Forest,Age,0.028440496688237286
Random Forest,Flight Distance,0.030003379907533316
Random Forest,Seat comfort,0.10492357760519076
Random Forest,Departure/Arrival time convenient,0.02218077936997552
Random Forest,Food and drink,0.0400410447163502
Random Forest,Gate location,0.018715248697732324
Random Forest,Inflight wifi service,0.01467152506286818
Random Forest,Inflight entertainment,0.1650243288832922
Random Forest,Online support,0.053004249921770934
Random Forest,Ease of Online booking,0.06434249886897181
