Model,Family,Accuracy,Precision,Recall,F1,ROC-AUC,Status,Note,f1_ci_low,f1_ci_high,f1_ci_width,CV Acc Mean,CV Acc Std,CV F1 Mean,CV F1 Std
XGBoost,ensemble,0.9551111111111111,0.9566265060240964,0.9620355411954766,0.959323399113975,0.9926895030234919,ok,Gradient boosted trees; requires OpenMP (brew install libomp on macOS).,0.9511490505084095,0.9671790479553886,0.016029997446979083,0.946,0.0015,0.9508,0.0014
Random Forest,ensemble,0.9475555555555556,0.948,0.9571890145395799,0.952572347266881,0.9903967415249638,ok,Bagged trees; the reference paper's best model.,0.9437801436024238,0.9602558655624948,0.016475721960070966,0.931,0.0035,0.9374,0.0032
Extra Trees,ensemble,0.9448888888888889,0.9463141025641025,0.9539579967689822,0.9501206757843926,0.9904430357519141,ok,Extremely randomised trees; higher variance reduction than RF.,0.9411716151586511,0.9582513022311655,0.017079687072514393,0.9321,0.0046,0.9385,0.0041
Gradient Boosting,ensemble,0.9404444444444444,0.9430176565008026,0.9491114701130856,0.9460547504025765,0.9880353368623369,ok,Classical sklearn boosting; slower than XGBoost but a useful comparison.,0.9381256131352942,0.9539187038105629,0.015793090675268684,,,,
Decision Tree,classical,0.9324444444444444,0.9337060702875399,0.944264943457189,0.9389558232931727,0.947118423825244,ok,Single interpretable tree; depth capped to limit overfitting.,0.9296057091430442,0.9474191888792185,0.01781347973617431,0.9102,0.0019,0.9177,0.0019
Support Vector Machine,classical,0.9288888888888889,0.9298245614035088,0.9418416801292407,0.9357945425361156,0.9810193669503917,ok,RBF kernel. Probability calibration is omitted (deprecated in sklearn 1.9 and costly to fit); decision_function supplies the scores used for ROC-AUC.,0.9258907540669287,0.9449107778501481,0.01902002378321943,,,,
Neural Net (Deep MLP),deep,0.9217777777777778,0.9303079416531604,0.9273021001615509,0.9288025889967637,0.9805779754417108,ok,"Four hidden blocks, tapering width.",0.9194459754103326,0.939792217950471,0.020346242540138393,,,,
Neural Net (Basic MLP),deep,0.9177777777777778,0.9059367771781033,0.9491114701130856,0.9270216962524654,0.9755039685326965,ok,"Two hidden blocks, dropout 0.3.",0.9180523307308284,0.9361040853483837,0.01805175461755537,,,,
Neural Net (Regularized MLP),deep,0.9128888888888889,0.9038759689922481,0.9418416801292407,0.9224683544303798,0.9720758012093969,ok,L2 1e-4 + dropout 0.45.,0.9122430272115878,0.9326598830280526,0.020416855816464796,,,,
K-Nearest Neighbors,classical,0.8995555555555556,0.9310051107325383,0.882875605815832,0.906301824212272,0.9665113149476077,ok,Distance-based; requires scaling to be meaningful.,0.8941776521376059,0.9177608148740071,0.023583162736401153,,,,
Logistic Regression,classical,0.8426666666666667,0.8536,0.8618739903069467,0.8577170418006431,0.9145911421583965,ok,"Linear, highly interpretable reference model.",0.8426818450620934,0.8726920975579401,0.030010252495846657,0.8361,0.003,0.8514,0.0036
Dummy Baseline,baseline,0.5502222222222222,0.5502222222222222,1.0,0.7098623853211009,0.5,ok,Majority-class floor: establishes whether real models learn anything.,0.6929907974191798,0.725582512501311,0.03259171508213121,,,,
