Model,Feature,Importance,Std
Neural Net (Deep MLP),Seat comfort,0.09288888888888891,0.0
Neural Net (Deep MLP),Inflight entertainment,0.02533333333333332,0.0
Neural Net (Deep MLP),Gender_Male,0.013333333333333308,0.0
Neural Net (Deep MLP),Food and drink,0.01244444444444448,0.0
Neural Net (Deep MLP),Customer Type_disloyal Customer,0.01244444444444448,0.0
Neural Net (Deep MLP),Checkin service,0.011111111111111072,0.0
Neural Net (Deep MLP),Customer Type_Loyal Customer,0.010666666666666713,0.0
Neural Net (Deep MLP),Gender_Female,0.010222222222222244,0.0
Neural Net (Deep MLP),Type of Travel_Business travel,0.009333333333333305,0.0
Neural Net (Deep MLP),Departure/Arrival time convenient,0.007555555555555538,0.0
Neural Net (Deep MLP),Service Quality Score,0.007111111111111068,0.0
Neural Net (Deep MLP),Age,0.007111111111111068,0.0
Neural Net (Deep MLP),Ease of Online booking,0.007111111111111068,0.0
Neural Net (Deep MLP),Total Delay,0.005333333333333301,0.0
Neural Net (Deep MLP),On-board service,0.005333333333333301,0.0
Neural Net (Deep MLP),Baggage handling,0.004444444444444473,0.0
Neural Net (Deep MLP),Leg room service,0.0040000000000000036,0.0
Neural Net (Deep MLP),Type of Travel_Personal Travel,0.0040000000000000036,0.0
Neural Net (Deep MLP),Arrival Delay in Minutes,0.0031111111111110645,0.0
Neural Net (Deep MLP),Cleanliness,0.0031111111111110645,0.0
Neural Net (Deep MLP),Online support,0.0031111111111110645,0.0
Neural Net (Deep MLP),Flight Distance,0.002666666666666706,0.0
Neural Net (Deep MLP),Gate location,0.002666666666666706,0.0
Neural Net (Deep MLP),Inflight wifi service,0.0022222222222222365,0.0
Neural Net (Deep MLP),Online boarding,0.0022222222222222365,0.0
Neural Net (Deep MLP),Flight Distance Category_Long,0.0022222222222222365,0.0
Neural Net (Deep MLP),Departure Delay in Minutes,0.0013333333333332975,0.0
Neural Net (Deep MLP),Class_Eco,0.000888888888888939,0.0
Neural Net (Deep MLP),Flight Distance Category_Short,0.0004444444444444695,0.0
Neural Net (Deep MLP),Class_Eco Plus,0.0004444444444444695,0.0
Neural Net (Deep MLP),Class_Business,0.0,0.0
Neural Net (Deep MLP),Flight Distance Category_Medium,0.0,0.0
