Age,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Total Delay,Service Quality Score,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,Flight Distance Category_Long,Flight Distance Category_Medium,Flight Distance Category_Short
35.0,1755.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,3.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
48.0,3527.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,12.0,8.0,20.0,2.142857142857143,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
48.0,2403.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36.0,106.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,0.0,4.0,4.0,3.9285714285714284,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8.0,1653.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,1.0,3.142857142857143,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
16.0,4164.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,0.0,4.0,4.0,2.142857142857143,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32.0,3044.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,3.7142857142857144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25.0,2314.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,46.0,45.0,91.0,2.142857142857143,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50.0,3666.0,1.0,1.0,5.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,3.857142857142857,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
39.0,945.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0,3.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
29.0,1414.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,82.0,76.0,158.0,1.7857142857142858,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
52.0,2157.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32.0,2603.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
62.0,1703.0,2.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
39.0,2777.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,16.0,14.0,30.0,4.785714285714286,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
68.0,1203.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,3.357142857142857,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
58.0,1053.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,0.0,3.7857142857142856,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
35.0,1742.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,3.857142857142857,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
49.0,2644.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2.0,8.0,10.0,3.9285714285714284,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
50.0,1428.0,2.0,5.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,0.0,3.2857142857142856,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
25.0,1538.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,2.857142857142857,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
28.0,1973.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,2.857142857142857,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
61.0,253.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,3.7142857142857144,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
