ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling,Satisfaction
123913,Female,62,Returning,Personal,Economy,544,0,0.0,5,4,1,1,4,4,3,4,2,2,4,4,4,4,Neutral or Dissatisfied
63593,Male,49,Returning,Personal,Economy,2133,0,0.0,3,0,4,0,3,2,2,3,3,3,4,1,3,3,Neutral or Dissatisfied
74076,Male,20,Returning,Business,Business,2703,0,0.0,5,4,4,3,5,4,3,4,3,3,4,5,3,5,Satisfied
80776,Female,20,First-time,Business,Economy,692,18,16.0,5,5,4,4,2,4,5,2,5,5,5,5,5,4,Satisfied
104984,Female,27,First-time,Business,Business,337,5,1.0,3,3,3,3,3,3,3,5,3,3,4,3,3,5,Neutral or Dissatisfied
93968,Male,27,First-time,Business,Economy,1218,56,34.0,3,3,4,3,4,1,1,3,1,1,4,3,1,4,Neutral or Dissatisfied
75238,Male,69,Returning,Personal,Economy,1723,31,5.0,4,2,3,2,3,3,1,3,1,1,4,2,1,4,Neutral or Dissatisfied
28626,Male,27,Returning,Business,Business,2378,0,0.0,2,3,2,3,3,4,4,1,4,4,5,3,4,3,Satisfied
11055,Male,65,Returning,Personal,Economy,316,0,0.0,1,2,2,2,3,2,5,1,5,5,3,2,5,3,Neutral or Dissatisfied
34931,Male,23,Returning,Personal,Economy,187,0,0.0,5,2,4,2,3,4,3,2,3,3,4,2,3,5,Neutral or Dissatisfied
5783,Male,51,Returning,Business,Business,3790,9,11.0,4,4,5,4,4,4,4,4,3,5,4,4,4,4,Satisfied
82913,Male,48,Returning,Personal,Economy,645,98,94.0,4,2,5,2,2,5,3,5,3,3,5,2,3,4,Neutral or Dissatisfied
50970,Female,26,Returning,Personal,Economy,250,128,126.0,4,3,5,3,3,2,3,4,3,3,3,3,3,3,Neutral or Dissatisfied
46942,Male,15,Returning,Personal,Economy,776,21,0.0,4,3,5,3,1,3,1,4,1,1,5,3,1,4,Neutral or Dissatisfied
21647,Male,23,Returning,Business,Economy Plus,722,6,0.0,5,5,4,4,5,2,3,3,4,4,4,4,4,5,Satisfied
