Model,Family,Accuracy,Precision,Recall,F1,ROC-AUC,Status,Note,f1_ci_low,f1_ci_high,f1_ci_width,CV Acc Mean,CV Acc Std,CV F1 Mean,CV F1 Std
Stacking Ensemble,ensemble,0.9593984190534852,0.9675127865125971,0.9579855575354028,0.9627256019980208,0.9940859659735839,ok,RF + XGBoost base learners with a logistic-regression meta-learner.,0.9601620923364731,0.9652034362370118,0.005041343900538675,,,,
XGBoost,ensemble,0.9592957601888923,0.9701791158536586,0.9549845259307888,0.9625218583108842,0.9944075628021171,ok,Gradient boosted trees; requires OpenMP (brew install libomp on macOS).,0.9599915124381777,0.9650312087711362,0.005039696332958532,0.9578,0.0013,0.9611,0.0011
Voting Ensemble,ensemble,0.9592444307565958,0.9691035269512311,0.9560161305448748,0.962515343215938,0.9938234203714523,ok,Soft voting over RF + XGBoost + Extra Trees.,0.9599050901244981,0.9649135222184981,0.005008432094000037,,,,
Neural Net (Basic MLP),deep,0.95903911302741,0.9741420744016149,0.9503891962862234,0.9621190544004558,0.9945122875414663,ok,"Two hidden blocks, dropout 0.3.",0.9593863088351414,0.9646634190796924,0.00527711024455102,,,,
Random Forest,ensemble,0.9586284775690381,0.9711308670299207,0.9527337522273281,0.9618443476614278,0.9936201067756342,ok,Bagged trees; the reference paper's best model.,0.9593039396510648,0.964342618558241,0.005038678907176242,0.9549,0.0005,0.9586,0.0005
Neural Net (Deep MLP),deep,0.9586798070013346,0.9785436893203884,0.945231173215793,0.9615990077756046,0.9946142101921863,ok,"Four hidden blocks, tapering width.",0.9590221965877237,0.9641794935147129,0.0051572969269891855,,,,
Neural Net (Regularized MLP),deep,0.9579098655168874,0.978605465331129,0.9437306574134859,0.9608517139310608,0.994262247655569,ok,L2 1e-4 + dropout 0.45.,0.9581764259132722,0.9635692809946974,0.005392855081425174,,,,
Extra Trees,ensemble,0.9546247818499127,0.9635915426187541,0.9531088811779049,0.9583215464403583,0.9920829086024514,ok,Extremely randomised trees; higher variance reduction than RF.,0.9557467076044408,0.9609269849456004,0.005180277341159556,0.9526,0.0004,0.9565,0.0004
Support Vector Machine,classical,0.9437429422030592,0.9505510031082227,0.9464503423051674,0.9484962406015037,0.9863007003509481,ok,RBF kernel. Probability calibration is omitted (deprecated in sklearn 1.9 and costly to fit); decision_function supplies the scores used for ROC-AUC.,0.9454164018156057,0.9513053425585795,0.005888940742973747,,,,
Decision Tree,classical,0.9436402833384663,0.9535324798482693,0.9429803995123324,0.9482270841192003,0.9781024004839287,ok,Single interpretable tree; depth capped to limit overfitting.,0.9452306940652311,0.9511536502413703,0.005922956176139249,0.9415,0.0007,0.9463,0.0007
Gradient Boosting,ensemble,0.9351195975772508,0.9413919413919414,0.9399793679077183,0.940685124354763,0.9849790131005566,ok,Classical sklearn boosting; slower than XGBoost but a useful comparison.,0.9374849976613799,0.9438330376049834,0.006348039943603445,,,,
K-Nearest Neighbors,classical,0.9203880505081614,0.9444878048780487,0.9079058426334052,0.9258356046478267,0.9774101144467641,ok,Distance-based; requires scaling to be meaningful.,0.9221311897764254,0.9293042196696109,0.0071730298931854675,,,,
Logistic Regression,classical,0.8383636176983883,0.8525713213213213,0.8520116289974679,0.8522913832731367,0.91062158226937,ok,"Linear, highly interpretable reference model.",0.8469064000457802,0.8570364019589203,0.010130001913140063,0.8351,0.0017,0.8494,0.0017
Dummy Baseline,baseline,0.5473257365773535,0.5473257365773535,1.0,0.7074473378669763,0.5,ok,Majority-class floor: establishes whether real models learn anything.,0.7020198906285516,0.7128699788583509,0.01085008822979927,,,,
