Age,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,Total Delay,Service Quality Score,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,Flight Distance Category_Long,Flight Distance Category_Medium,Flight Distance Category_Short
46.0,379.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,3.9285714285714284,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17.0,2363.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,2.0,7.0,14.0,21.0,2.9285714285714284,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50.0,1867.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,0.0,0.0,0.0,2.857142857142857,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60.0,1852.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,0.0,7.0,4.285714285714286,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
53.0,1711.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,3.4285714285714284,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
28.0,1415.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,74.0,61.0,135.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36.0,2325.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,2.642857142857143,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
61.0,4125.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0,4.0,2.0,5.0,2.0,180.0,145.0,325.0,3.642857142857143,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
25.0,2374.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,15.0,3.0,18.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
55.0,2382.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,4.285714285714286,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
